region,year,cluster
Белгородская область,2015,1
Белгородская область,2016,1
Белгородская область,2017,1
Белгородская область,2018,1
Белгородская область,2019,1
Белгородская область,2020,1
Брянская область,2015,1
Брянская область,2016,1
Брянская область,2017,1
Брянская область,2018,1
Брянская область,2019,1
Брянская область,2020,1
Владимирская область,2015,1
Владимирская область,2016,1
Владимирская область,2017,1
Владимирская область,2018,1
Владимирская область,2019,1
Владимирская область,2020,1
Воронежская область,2015,1
Воронежская область,2016,1
Воронежская область,2017,1
Воронежская область,2018,1
Воронежская область,2019,1
Воронежская область,2020,1
Ивановская область,2015,1
Ивановская область,2016,1
Ивановская область,2017,1
Ивановская область,2018,1
Ивановская область,2019,1
Ивановская область,2020,1
Калужская область,2015,1
Калужская область,2016,1
Калужская область,2017,1
Калужская область,2018,1
Калужская область,2019,1
Калужская область,2020,1
Костромская область,2015,1
Костромская область,2016,1
Костромская область,2017,1
Костромская область,2018,1
Костромская область,2019,1
Костромская область,2020,1
Курская область,2015,1
Курская область,2016,1
Курская область,2017,1
Курская область,2018,1
Курская область,2019,1
Курская область,2020,1
Липецкая область,2015,1
Липецкая область,2016,1
Липецкая область,2017,1
Липецкая область,2018,1
Липецкая область,2019,1
Липецкая область,2020,1
Московская область,2015,1
Московская область,2016,1
Московская область,2017,1
Московская область,2018,1
Московская область,2019,1
Московская область,2020,1
Орловская область,2015,1
Орловская область,2016,1
Орловская область,2017,1
Орловская область,2018,1
Орловская область,2019,1
Орловская область,2020,1
Рязанская область,2015,1
Рязанская область,2016,1
Рязанская область,2017,1
Рязанская область,2018,1
Рязанская область,2019,1
Рязанская область,2020,1
Смоленская область,2015,1
Смоленская область,2016,1
Смоленская область,2017,1
Смоленская область,2018,1
Смоленская область,2019,1
Смоленская область,2020,1
Тамбовская область,2015,1
Тамбовская область,2016,1
Тамбовская область,2017,1
Тамбовская область,2018,1
Тамбовская область,2019,1
Тамбовская область,2020,1
Тверская область,2015,1
Тверская область,2016,1
Тверская область,2017,1
Тверская область,2018,1
Тверская область,2019,1
Тверская область,2020,1
Тульская область,2015,1
Тульская область,2016,1
Тульская область,2017,1
Тульская область,2018,1
Тульская область,2019,1
Тульская область,2020,1
Ярославская область,2015,1
Ярославская область,2016,1
Ярославская область,2017,1
Ярославская область,2018,1
Ярославская область,2019,1
Ярославская область,2020,1
Москва,2015,1
Москва,2016,1
Москва,2017,1
Москва,2018,1
Москва,2019,1
Москва,2020,1
Республика Карелия,2015,1
Республика Карелия,2016,1
Республика Карелия,2017,1
Республика Карелия,2018,1
Республика Карелия,2019,1
Республика Карелия,2020,1
Республика Коми,2015,1
Республика Коми,2016,1
Республика Коми,2017,1
Республика Коми,2018,1
Республика Коми,2019,1
Республика Коми,2020,1
Архангельская область,2015,1
Архангельская область,2016,1
Архангельская область,2017,1
Архангельская область,2018,1
Архангельская область,2019,1
Архангельская область,2020,1
Ненецкий автономный округ,2015,2
Ненецкий автономный округ,2016,2
Ненецкий автономный округ,2017,2
Ненецкий автономный округ,2018,2
Ненецкий автономный округ,2019,2
Ненецкий автономный округ,2020,2
Вологодская область,2015,1
Вологодская область,2016,1
Вологодская область,2017,1
Вологодская область,2018,1
Вологодская область,2019,1
Вологодская область,2020,1
Калининградская область,2015,1
Калининградская область,2016,1
Калининградская область,2017,1
Калининградская область,2018,1
Калининградская область,2019,1
Калининградская область,2020,1
Ленинградская область,2015,1
Ленинградская область,2016,1
Ленинградская область,2017,1
Ленинградская область,2018,1
Ленинградская область,2019,1
Ленинградская область,2020,1
Мурманская область,2015,2
Мурманская область,2016,2
Мурманская область,2017,2
Мурманская область,2018,2
Мурманская область,2019,2
Мурманская область,2020,2
Новгородская область,2015,1
Новгородская область,2016,1
Новгородская область,2017,1
Новгородская область,2018,1
Новгородская область,2019,1
Новгородская область,2020,1
Псковская область,2015,1
Псковская область,2016,1
Псковская область,2017,1
Псковская область,2018,1
Псковская область,2019,1
Псковская область,2020,1
Санкт-Петербург,2015,1
Санкт-Петербург,2016,1
Санкт-Петербург,2017,1
Санкт-Петербург,2018,1
Санкт-Петербург,2019,1
Санкт-Петербург,2020,1
Республика Адыгея,2015,1
Республика Адыгея,2016,1
Республика Адыгея,2017,1
Республика Адыгея,2018,1
Республика Адыгея,2019,1
Республика Адыгея,2020,1
Республика Калмыкия,2015,1
Республика Калмыкия,2016,1
Республика Калмыкия,2017,1
Республика Калмыкия,2018,1
Республика Калмыкия,2019,1
Республика Калмыкия,2020,1
Республика Крым,2015,1
Республика Крым,2016,1
Республика Крым,2017,1
Республика Крым,2018,1
Республика Крым,2019,1
Республика Крым,2020,1
Краснодарский край,2015,1
Краснодарский край,2016,1
Краснодарский край,2017,1
Краснодарский край,2018,1
Краснодарский край,2019,1
Краснодарский край,2020,1
Астраханская область,2015,1
Астраханская область,2016,1
Астраханская область,2017,1
Астраханская область,2018,1
Астраханская область,2019,1
Астраханская область,2020,1
Волгоградская область,2015,1
Волгоградская область,2016,1
Волгоградская область,2017,1
Волгоградская область,2018,1
Волгоградская область,2019,1
Волгоградская область,2020,1
Ростовская область,2015,1
Ростовская область,2016,1
Ростовская область,2017,1
Ростовская область,2018,1
Ростовская область,2019,1
Ростовская область,2020,1
Севастополь,2015,2
Севастополь,2016,2
Севастополь,2017,2
Севастополь,2018,2
Севастополь,2019,2
Севастополь,2020,2
Республика Дагестан,2015,0
Республика Дагестан,2016,0
Республика Дагестан,2017,0
Республика Дагестан,2018,0
Республика Дагестан,2019,0
Республика Дагестан,2020,0
Республика Ингушетия,2015,0
Республика Ингушетия,2016,0
Республика Ингушетия,2017,0
Республика Ингушетия,2018,0
Республика Ингушетия,2019,0
Республика Ингушетия,2020,0
Кабардино-Балкарская Республика,2015,1
Кабардино-Балкарская Республика,2016,1
Кабардино-Балкарская Республика,2017,1
Кабардино-Балкарская Республика,2018,1
Кабардино-Балкарская Республика,2019,1
Кабардино-Балкарская Республика,2020,1
Карачаево-Черкесская Республика,2015,0
Карачаево-Черкесская Республика,2016,0
Карачаево-Черкесская Республика,2017,0
Карачаево-Черкесская Республика,2018,0
Карачаево-Черкесская Республика,2019,0
Карачаево-Черкесская Республика,2020,0
Республика Северная Осетия - Алания,2015,1
Республика Северная Осетия - Алания,2016,1
Республика Северная Осетия - Алания,2017,1
Республика Северная Осетия - Алания,2018,1
Республика Северная Осетия - Алания,2019,1
Республика Северная Осетия - Алания,2020,1
Чеченская Республика,2015,0
Чеченская Республика,2016,0
Чеченская Республика,2017,0
Чеченская Республика,2018,0
Чеченская Республика,2019,0
Чеченская Республика,2020,0
Ставропольский край,2015,1
Ставропольский край,2016,1
Ставропольский край,2017,1
Ставропольский край,2018,1
Ставропольский край,2019,1
Ставропольский край,2020,1
Республика Башкортостан,2015,1
Республика Башкортостан,2016,1
Республика Башкортостан,2017,1
Республика Башкортостан,2018,1
Республика Башкортостан,2019,1
Республика Башкортостан,2020,1
Республика Марий Эл,2015,1
Республика Марий Эл,2016,1
Республика Марий Эл,2017,1
Республика Марий Эл,2018,1
Республика Марий Эл,2019,1
Республика Марий Эл,2020,1
Республика Мордовия,2015,1
Республика Мордовия,2016,1
Республика Мордовия,2017,1
Республика Мордовия,2018,1
Республика Мордовия,2019,1
Республика Мордовия,2020,1
Республика Татарстан,2015,1
Республика Татарстан,2016,1
Республика Татарстан,2017,1
Республика Татарстан,2018,1
Республика Татарстан,2019,1
Республика Татарстан,2020,1
Удмуртская Республика,2015,1
Удмуртская Республика,2016,1
Удмуртская Республика,2017,1
Удмуртская Республика,2018,1
Удмуртская Республика,2019,1
Удмуртская Республика,2020,1
Чувашская Республика,2015,1
Чувашская Республика,2016,1
Чувашская Республика,2017,1
Чувашская Республика,2018,1
Чувашская Республика,2019,1
Чувашская Республика,2020,1
Пермский край,2015,1
Пермский край,2016,1
Пермский край,2017,1
Пермский край,2018,1
Пермский край,2019,1
Пермский край,2020,1
Кировская область,2015,1
Кировская область,2016,1
Кировская область,2017,1
Кировская область,2018,1
Кировская область,2019,1
Кировская область,2020,1
Нижегородская область,2015,1
Нижегородская область,2016,1
Нижегородская область,2017,1
Нижегородская область,2018,1
Нижегородская область,2019,1
Нижегородская область,2020,1
Оренбургская область,2015,1
Оренбургская область,2016,1
Оренбургская область,2017,1
Оренбургская область,2018,1
Оренбургская область,2019,1
Оренбургская область,2020,1
Пензенская область,2015,1
Пензенская область,2016,1
Пензенская область,2017,1
Пензенская область,2018,1
Пензенская область,2019,1
Пензенская область,2020,1
Самарская область,2015,1
Самарская область,2016,1
Самарская область,2017,1
Самарская область,2018,1
Самарская область,2019,1
Самарская область,2020,1
Саратовская область,2015,1
Саратовская область,2016,1
Саратовская область,2017,1
Саратовская область,2018,1
Саратовская область,2019,1
Саратовская область,2020,1
Ульяновская область,2015,1
Ульяновская область,2016,1
Ульяновская область,2017,1
Ульяновская область,2018,1
Ульяновская область,2019,1
Ульяновская область,2020,1
Курганская область,2015,1
Курганская область,2016,1
Курганская область,2017,1
Курганская область,2018,1
Курганская область,2019,1
Курганская область,2020,1
Свердловская область,2015,1
Свердловская область,2016,1
Свердловская область,2017,1
Свердловская область,2018,1
Свердловская область,2019,1
Свердловская область,2020,1
Тюменская область,2015,2
Тюменская область,2016,2
Тюменская область,2017,2
Тюменская область,2018,2
Тюменская область,2019,2
Тюменская область,2020,2
Ханты-Мансийский автономный округ,2015,2
Ханты-Мансийский автономный округ,2016,2
Ханты-Мансийский автономный округ,2017,2
Ханты-Мансийский автономный округ,2018,2
Ханты-Мансийский автономный округ,2019,2
Ханты-Мансийский автономный округ,2020,2
Ямало-Ненецкий автономный округ,2015,2
Ямало-Ненецкий автономный округ,2016,2
Ямало-Ненецкий автономный округ,2017,2
Ямало-Ненецкий автономный округ,2018,2
Ямало-Ненецкий автономный округ,2019,2
Ямало-Ненецкий автономный округ,2020,2
Челябинская область,2015,1
Челябинская область,2016,1
Челябинская область,2017,1
Челябинская область,2018,1
Челябинская область,2019,1
Челябинская область,2020,1
Республика Алтай,2015,1
Республика Алтай,2016,1
Республика Алтай,2017,1
Республика Алтай,2018,1
Республика Алтай,2019,1
Республика Алтай,2020,1
Республика Тыва,2015,0
Республика Тыва,2016,1
Республика Тыва,2017,1
Республика Тыва,2018,1
Республика Тыва,2019,1
Республика Тыва,2020,1
Республика Хакасия,2015,1
Республика Хакасия,2016,1
Республика Хакасия,2017,1
Республика Хакасия,2018,1
Республика Хакасия,2019,1
Республика Хакасия,2020,1
Алтайский край,2015,1
Алтайский край,2016,1
Алтайский край,2017,1
Алтайский край,2018,1
Алтайский край,2019,1
Алтайский край,2020,1
Красноярский край,2015,1
Красноярский край,2016,1
Красноярский край,2017,1
Красноярский край,2018,1
Красноярский край,2019,1
Красноярский край,2020,1
Иркутская область,2015,1
Иркутская область,2016,1
Иркутская область,2017,1
Иркутская область,2018,1
Иркутская область,2019,1
Иркутская область,2020,1
Кемеровская область,2015,1
Кемеровская область,2016,1
Кемеровская область,2017,1
Кемеровская область,2018,1
Кемеровская область,2019,1
Кемеровская область,2020,1
Новосибирская область,2015,1
Новосибирская область,2016,1
Новосибирская область,2017,1
Новосибирская область,2018,1
Новосибирская область,2019,1
Новосибирская область,2020,1
Омская область,2015,1
Омская область,2016,1
Омская область,2017,1
Омская область,2018,1
Омская область,2019,1
Омская область,2020,1
Томская область,2015,1
Томская область,2016,1
Томская область,2017,1
Томская область,2018,1
Томская область,2019,1
Томская область,2020,1
Республика Бурятия,2015,1
Республика Бурятия,2016,1
Республика Бурятия,2017,1
Республика Бурятия,2018,1
Республика Бурятия,2019,1
Республика Бурятия,2020,1
Забайкальский край,2018,1
Забайкальский край,2019,1
Забайкальский край,2020,1
Республика Саха (Якутия),2015,1
Республика Саха (Якутия),2016,1
Республика Саха (Якутия),2017,1
Республика Саха (Якутия),2018,1
Республика Саха (Якутия),2019,1
Республика Саха (Якутия),2020,1
Камчатский край,2015,2
Камчатский край,2016,2
Камчатский край,2017,2
Камчатский край,2018,2
Камчатский край,2019,2
Камчатский край,2020,2
Приморский край,2015,1
Приморский край,2016,1
Приморский край,2017,1
Приморский край,2018,1
Приморский край,2019,1
Приморский край,2020,1
Хабаровский край,2015,2
Хабаровский край,2016,2
Хабаровский край,2017,2
Хабаровский край,2018,2
Хабаровский край,2019,2
Хабаровский край,2020,2
Амурская область,2015,1
Амурская область,2016,1
Амурская область,2017,1
Амурская область,2018,1
Амурская область,2019,1
Амурская область,2020,1
Магаданская область,2015,2
Магаданская область,2016,2
Магаданская область,2017,2
Магаданская область,2018,2
Магаданская область,2019,2
Магаданская область,2020,2
Сахалинская область,2015,2
Сахалинская область,2016,2
Сахалинская область,2017,2
Сахалинская область,2018,2
Сахалинская область,2019,2
Сахалинская область,2020,2
Еврейская автономная область,2015,1
Еврейская автономная область,2016,1
Еврейская автономная область,2017,1
Еврейская автономная область,2018,1
Еврейская автономная область,2019,1
Еврейская автономная область,2020,1
Чукотский автономный округ,2015,2
Чукотский автономный округ,2016,2
Чукотский автономный округ,2017,2
Чукотский автономный округ,2018,2
Чукотский автономный округ,2019,2
Чукотский автономный округ,2020,2
